采样日期,点位名称,采样经度,采样纬度,pH值,溶解氧,电导率,浑浊度,氨氮,耗氧量
2021/6/21,白洋湾金墅水源地1,120.3813,31.3749,8.1,6.85,452,12,0.06,2.87
2021/6/21,白洋湾金墅水源地2,120.3818,31.3767,8.2,6.98,440,12,0.09,3.12
2021/6/21,白洋湾金墅水源地3,120.3838,31.3787,8.2,6.95,445,13,0.09,2.79
2021/6/21,白洋湾金墅水源地4,120.3795,31.3777,8.2,6.99,443,12,0.07,2.79
2021/6/21,白洋湾金墅水源地5,120.3803,31.3792,8.2,7.1,448,11,0.08,2.79
2021/6/28,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.05,478,11,0.08,2.02
2021/6/28,白洋湾金墅水源地2,120.3818,31.3767,7.8,6.10,476,10,0.11,2.21
2021/6/28,白洋湾金墅水源地3,120.3838,31.3787,8.1,6.00,476,10,0.09,1.94
2021/6/28,白洋湾金墅水源地4,120.3795,31.3777,8.3,6.10,473,12,0.07,2.21
2021/6/28,白洋湾金墅水源地5,120.3803,31.3792,7.9,6.12,480,11,0.08,2.07
2021/7/5,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.42,448,23,0.05,2.83
2021/7/5,白洋湾金墅水源地2,120.3818,31.3767,8.2,6.32,464,21,0.05,3.06
2021/7/5,白洋湾金墅水源地3,120.3838,31.3787,8.1,6.25,461,22,0.07,2.91
2021/7/5,白洋湾金墅水源地4,120.3795,31.3777,8.1,6.38,441,21,0.05,2.80
2021/7/5,白洋湾金墅水源地5,120.3803,31.3792,8.4,6.36,464,20,0.05,3.45
2021/7/12,白洋湾金墅水源地1,120.3813,31.3749,8.2,5.89,465,28,0.05,3.09
2021/7/12,白洋湾金墅水源地2,120.3818,31.3767,8.3,5.98,466,30,0.06,3.25
2021/7/12,白洋湾金墅水源地3,120.3838,31.3787,8.4,5.96,464,29,0.05,3.22
2021/7/12,白洋湾金墅水源地4,120.3795,31.3777,8.3,6.01,461,30,0.06,3.29
2021/7/12,白洋湾金墅水源地5,120.3803,31.3792,8.3,6.08,456,28,0.06,3.22
2021/7/19,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.63,452,26,0.06,3.24
2021/7/19,白洋湾金墅水源地2,120.3818,31.3767,8.7,6.45,446,28,0.06,3.47
2021/7/19,白洋湾金墅水源地3,120.3838,31.3787,8.8,6.57,451,30,0.07,3.47
2021/7/19,白洋湾金墅水源地4,120.3795,31.3777,8.8,6.52,445,27,0.08,3.47
2021/7/19,白洋湾金墅水源地5,120.3803,31.3792,8.6,6.58,455,25,0.08,3.34
2021/8/2,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.79,436,29,0.08,3.31
2021/8/2,白洋湾金墅水源地2,120.3818,31.3767,8.5,6.78,433,27,0.07,2.87
2021/8/2,白洋湾金墅水源地3,120.3838,31.3787,8.4,6.82,438,28,0.06,3.27
2021/8/2,白洋湾金墅水源地4,120.3795,31.3777,8.6,6.93,433,26,0.08,3.18
2021/8/2,白洋湾金墅水源地5,120.3803,31.3792,8.3,7.01,437,27,0.06,3.18
2021/8/9,白洋湾金墅水源地1,120.3813,31.3749,8.4,5.98,439,25,0.07,3.31
2021/8/9,白洋湾金墅水源地2,120.3818,31.3767,8.3,6.01,439,26,0.06,3.28
2021/8/9,白洋湾金墅水源地3,120.3838,31.3787,8.4,5.96,438,27,0.08,3.22
2021/8/9,白洋湾金墅水源地4,120.3795,31.3777,8.4,6.01,435,26,0.08,3.18
2021/8/9,白洋湾金墅水源地5,120.3803,31.3792,8.4,6.23,437,27,0.08,3.25
2021/8/16,白洋湾金墅水源地1,120.3813,31.3749,8.0,5.74,426,32,0.08,3.43
2021/8/16,白洋湾金墅水源地2,120.3818,31.3767,8.2,5.86,421,35,0.07,3.76
2021/8/16,白洋湾金墅水源地3,120.3838,31.3787,8.1,5.98,419,38,0.08,3.36
2021/8/16,白洋湾金墅水源地4,120.3795,31.3777,8.2,5.83,418,34,0.09,3.82
2021/8/16,白洋湾金墅水源地5,120.3803,31.3792,8.1,6.01,419,34,0.09,3.98
2021/9/6,白洋湾金墅水源地1,120.3813,31.3749,8.1,6.17,393,28,0.06,4.68
2021/9/6,白洋湾金墅水源地2,120.3818,31.3767,8.2,6.12,385,27,0.06,5.18
2021/9/6,白洋湾金墅水源地3,120.3838,31.3787,8.2,6.28,390,30,0.08,4.42
2021/9/6,白洋湾金墅水源地4,120.3795,31.3777,8,6.2,387,29,0.08,4.45
2021/9/6,白洋湾金墅水源地5,120.3803,31.3792,8.1,6.24,383,28,0.05,5.31
2021/9/22,白洋湾金墅水源地1,120.3813,31.3749,8.8,6.2,372,18,0.07,6.33
2021/9/22,白洋湾金墅水源地2,120.3818,31.3767,8.7,6.23,377,19,0.08,6.47
2021/9/22,白洋湾金墅水源地3,120.3838,31.3787,8.8,6.36,374,20,0.06,6.24
2021/9/22,白洋湾金墅水源地4,120.3795,31.3777,8.6,6.28,375,18,0.07,4.83
2021/9/22,白洋湾金墅水源地5,120.3803,31.3792,8.8,6.56,379,19,0.06,8.19
2021/9/27,白洋湾金墅水源地1,120.3813,31.3749,8.8,6.12,394,19,0.08,6.63
2021/9/27,白洋湾金墅水源地2,120.3818,31.3767,8.7,6.25,390,21,0.07,4.95
2021/9/27,白洋湾金墅水源地3,120.3838,31.3787,8.8,6.52,389,22,0.07,4.92
2021/9/27,白洋湾金墅水源地4,120.3795,31.3777,8.7,6.28,390,19,0.09,4.32
2021/9/27,白洋湾金墅水源地5,120.3803,31.3792,8.8,6.78,389,20,0.09,4.42
2021/10/18,白洋湾金墅水源地1,120.3813,31.3749,8,8.52,362,36,0.15,8.29
2021/10/18,白洋湾金墅水源地2,120.3818,31.3767,8,8.68,364,37,0.12,7.86
2021/10/18,白洋湾金墅水源地3,120.3838,31.3787,7.8,8.89,365,32,0.06,9.05
2021/10/18,白洋湾金墅水源地4,120.3795,31.3777,8,8.71,370,39,0.08,7.38
2021/10/18,白洋湾金墅水源地5,120.3803,31.3792,7.9,9.04,371,35,0.06,7.38
2021/10/22,白洋湾金墅水源地1,120.3813,31.3749,7.8,8.21,388,45,0.08,9.5
2021/10/22,白洋湾金墅水源地2,120.3818,31.3767,7.8,8.17,391,43,0.08,9.39
2021/10/22,白洋湾金墅水源地3,120.3838,31.3787,7.8,7.91,395,48,0.07,6.15
2021/10/22,白洋湾金墅水源地4,120.3795,31.3777,7.9,7.89,395,50,0.06,7.01
2021/10/22,白洋湾金墅水源地5,120.3803,31.3792,7.7,7.88,396,49,0.05,5.76
2021/11/1,白洋湾金墅水源地1,120.3813,31.3749,8.6,8.64,418,25,0.08,3.92
2021/11/1,白洋湾金墅水源地2,120.3818,31.3767,8,8.43,423,23,0.06,4.25
2021/11/1,白洋湾金墅水源地3,120.3838,31.3787,8.3,8.32,421,25,0.08,4.88
2021/11/1,白洋湾金墅水源地4,120.3795,31.3777,8.3,8.62,412,17,0.08,4.41
2021/11/1,白洋湾金墅水源地5,120.3803,31.3792,8.1,8.45,419,18,0.06,5.19
2021/11/8,白洋湾金墅水源地1,120.3813,31.3749,7.8,9.46,414,147,0.26,8.38
2021/11/8,白洋湾金墅水源地2,120.3818,31.3767,7.8,9.27,413,131,0.22,9.52
2021/11/8,白洋湾金墅水源地3,120.3838,31.3787,7.8,9.53,393,140,0.14,8.32
2021/11/8,白洋湾金墅水源地4,120.3795,31.3777,7.7,9.38,417,153,0.24,8.01
2021/11/8,白洋湾金墅水源地5,120.3803,31.3792,7.8,9.4,394,139,0.16,7.28
2021/11/18,白洋湾金墅水源地1,120.3813,31.3749,8.1,9.05,391,39,0.07,3.62
2021/11/18,白洋湾金墅水源地2,120.3818,31.3767,8,9.18,390,39,0.08,3.65
2021/11/18,白洋湾金墅水源地3,120.3838,31.3787,8.1,9.23,392,38,0.08,3.59
2021/11/18,白洋湾金墅水源地4,120.3795,31.3777,8.1,9.12,392,35,0.07,3.4
2021/11/18,白洋湾金墅水源地5,120.3803,31.3792,8.1,9.25,390,39,0.07,3.62
2021/11/26,白洋湾金墅水源地1,120.3813,31.3749,7.7,9.2,394,54,0.08,3.54
2021/11/26,白洋湾金墅水源地2,120.3818,31.3767,7.8,9.36,392,49,0.08,3.76
2021/11/26,白洋湾金墅水源地3,120.3838,31.3787,7.7,9.25,392,59,0.07,3.54
2021/11/26,白洋湾金墅水源地4,120.3795,31.3777,7.8,9.35,401,43,0.07,4.08
2021/11/26,白洋湾金墅水源地5,120.3803,31.3792,7.8,9.1,399,49,0.08,3.84
2021/12/6,白洋湾金墅水源地1,120.3813,31.3749,7.8,10.08,426,33,0.08,3.23
2021/12/6,白洋湾金墅水源地2,120.3818,31.3767,7.9,10.12,422,32,0.06,5.68
2021/12/6,白洋湾金墅水源地3,120.3838,31.3787,7.9,10.36,421,31,0.08,3.17
2021/12/6,白洋湾金墅水源地4,120.3795,31.3777,7.9,10.23,420,32,0.08,3.51
2021/12/6,白洋湾金墅水源地5,120.3803,31.3792,7.9,10.36,419,30,0.07,3.34
2021/12/14,白洋湾金墅水源地1,120.3813,31.3749,8,9.95,466,36,0.07,4.44
2021/12/14,白洋湾金墅水源地2,120.3818,31.3767,8,9.86,422,35,0.06,4.15
2021/12/14,白洋湾金墅水源地3,120.3838,31.3787,7.9,9.99,423,33,0.06,3.88
2021/12/14,白洋湾金墅水源地4,120.3795,31.3777,7.9,10.05,436,36,0.06,4.12
2021/12/14,白洋湾金墅水源地5,120.3803,31.3792,7.9,10.1,417,38,0.06,6.04
2021/12/27,白洋湾金墅水源地1,120.3813,31.3749,8,11.85,424,120,0.09,3.36
2021/12/27,白洋湾金墅水源地2,120.3818,31.3767,7.9,11.74,423,119,0.06,3.65
2021/12/27,白洋湾金墅水源地3,120.3838,31.3787,7.8,11.78,417,115,0.06,3.36
2021/12/27,白洋湾金墅水源地4,120.3795,31.3777,7.9,12.08,409,110,0.06,2.94
2021/12/27,白洋湾金墅水源地5,120.3803,31.3792,8,12.14,407,109,0.06,2.9
2022/1/5,白洋湾金墅水源地1,120.3813,31.3749,8,11.02,425,56,0.08,3.16
2022/1/5,白洋湾金墅水源地2,120.3818,31.3767,7.9,10.96,423,60,0.07,3.13
2022/1/5,白洋湾金墅水源地3,120.3838,31.3787,8,11.01,423,53,0.08,2.96
2022/1/5,白洋湾金墅水源地4,120.3795,31.3777,8,11.38,423,55,0.08,3.09
2022/1/5,白洋湾金墅水源地5,120.3803,31.3792,8,11.25,430,50,0.07,2.67
2022/1/14,白洋湾金墅水源地1,120.3813,31.3749,8,11.7,432,93,0.11,3.15
2022/1/14,白洋湾金墅水源地2,120.3818,31.3767,8,11.76,430,93,0.09,3.09
2022/1/14,白洋湾金墅水源地3,120.3838,31.3787,8,11.62,431,91,0.08,3.15
2022/1/14,白洋湾金墅水源地4,120.3795,31.3777,8,11.8,428,96,0.08,3.25
2022/1/14,白洋湾金墅水源地5,120.3803,31.3792,8,11.71,436,101,0.08,3.24
2022/1/24,白洋湾金墅水源地1,120.3813,31.3749,7.9,10.87,426,114,0.11,3.44
2022/1/24,白洋湾金墅水源地2,120.3818,31.3767,7.9,10.69,423,89,0.09,3.25
2022/1/24,白洋湾金墅水源地3,120.3838,31.3787,7.9,10.68,424,84,0.1,3.12
2022/1/24,白洋湾金墅水源地4,120.3795,31.3777,7.9,10.51,430,91,0.11,3.15
2022/1/24,白洋湾金墅水源地5,120.3803,31.3792,8,10.89,433,81,0.11,3.09
2022/2/7,白洋湾金墅水源地1,120.3813,31.3749,8,11.63,468,21,0.15,2.69
2022/2/7,白洋湾金墅水源地2,120.3818,31.3767,7.9,11.74,474,20,0.13,2.72
2022/2/7,白洋湾金墅水源地3,120.3838,31.3787,8,11.56,465,22,0.13,2.95
2022/2/7,白洋湾金墅水源地4,120.3795,31.3777,7.9,11.78,464,20,0.09,3.02
2022/2/7,白洋湾金墅水源地5,120.3803,31.3792,8,11.84,461,18,0.08,2.82
2022/2/21,白洋湾金墅水源地1,120.3813,31.3749,8,12.12,404,35,0.06,2.91
2022/2/21,白洋湾金墅水源地2,120.3818,31.3767,8,12,407,33,<0.02,2.88
2022/2/21,白洋湾金墅水源地3,120.3838,31.3787,8,11.96,409,34,0.04,2.85
2022/2/21,白洋湾金墅水源地4,120.3795,31.3777,8,12.25,412,33,0.04,2.91
2022/2/21,白洋湾金墅水源地5,120.3803,31.3792,8,12.3,414,32,<0.02,2.6
2022/2/24,白洋湾金墅水源地1,120.3813,31.3749,7.9,11.95,404,22,0.05,2.34
2022/2/24,白洋湾金墅水源地2,120.3818,31.3767,7.9,12.01,409,23,0.05,2.37
2022/2/24,白洋湾金墅水源地3,120.3838,31.3787,7.9,11.93,411,22,0.05,2.37
2022/2/24,白洋湾金墅水源地4,120.3795,31.3777,8,11.89,414,19,0.04,2.45
2022/2/24,白洋湾金墅水源地5,120.3803,31.3792,7.9,12.08,414,20,0.05,2.37
2022/3/7,白洋湾金墅水源地1,120.3813,31.3749,8,9.54,412,27,0.12,2.84
2022/3/7,白洋湾金墅水源地2,120.3818,31.3767,8,9.5,412,27,0.09,2.59
2022/3/7,白洋湾金墅水源地3,120.3838,31.3787,8,9.72,409,19,0.09,2.78
2022/3/7,白洋湾金墅水源地4,120.3795,31.3777,8.1,9.63,429,18,0.13,2.71
2022/3/7,白洋湾金墅水源地5,120.3803,31.3792,8,9.3,412,15,0.1,2.42
2022/3/18,白洋湾金墅水源地1,120.3813,31.3749,7.7,9.38,400,252,0.17,4.08
2022/3/18,白洋湾金墅水源地2,120.3818,31.3767,7.7,8.89,405,246,0.13,4.34
2022/3/18,白洋湾金墅水源地3,120.3838,31.3787,7.8,8.68,399,187,0.14,3.09
2022/3/18,白洋湾金墅水源地4,120.3795,31.3777,7.7,8.76,407,251,0.13,3.79
2022/3/18,白洋湾金墅水源地5,120.3803,31.3792,7.8,8.7,406,224,0.12,3.31
2022/3/25,白洋湾金墅水源地1,120.3813,31.3749,7.9,9.35,388,29,0.08,2.44
2022/3/25,白洋湾金墅水源地2,120.3818,31.3767,7.9,9.39,386,37,0.06,2.4
2022/3/25,白洋湾金墅水源地3,120.3838,31.3787,7.9,9.38,388,28,0.06,2.38
2022/3/25,白洋湾金墅水源地4,120.3795,31.3777,7.9,9.41,392,29,0.06,2.37
2022/3/25,白洋湾金墅水源地5,120.3803,31.3792,7.9,9.44,387,20,0.07,2.14
2022/4/11,白洋湾金墅水源地1,120.3813,31.3749,8.4,7.56,399,19,0.08,2.71
2022/4/11,白洋湾金墅水源地2,120.3818,31.3767,8.3,7.29,401,19,0.07,2.42
2022/4/11,白洋湾金墅水源地3,120.3838,31.3787,8.4,7.45,402,19,0.07,2.61
2022/4/11,白洋湾金墅水源地4,120.3795,31.3777,8.4,7.38,404,20,0.08,2.55
2022/4/11,白洋湾金墅水源地5,120.3803,31.3792,8.3,7.85,404,18,0.06,2.52
2022/4/27,白洋湾金墅水源地1,120.3813,31.3749,7.7,7.1,416,14,0.06,2.38
2022/4/27,白洋湾金墅水源地2,120.3818,31.3767,7.8,7.03,419,12,0.08,2.35
2022/4/27,白洋湾金墅水源地3,120.3838,31.3787,7.8,6.96,422,15,0.11,2.32
2022/4/27,白洋湾金墅水源地4,120.3795,31.3777,7.8,7.01,423,14,0.03,2.48
2022/4/27,白洋湾金墅水源地5,120.3803,31.3792,7.8,6.84,422,16,0.08,2.34
2022/5/4,白洋湾金墅水源地1,120.3813,31.3749,7.8,7.42,438,22,0.09,2.5
2022/5/4,白洋湾金墅水源地2,120.3818,31.3767,7.9,7.58,435,19,0.08,2.57
2022/5/4,白洋湾金墅水源地3,120.3838,31.3787,7.9,7.25,433,18,0.09,2.54
2022/5/4,白洋湾金墅水源地4,120.3795,31.3777,7.8,7.89,432,19,0.09,2.85
2022/5/4,白洋湾金墅水源地5,120.3803,31.3792,7.8,7.8,430,20,0.1,2.44
2022/5/9,白洋湾金墅水源地1,120.3813,31.3749,7.9,6.89,426,19,0.08,3.01
2022/5/9,白洋湾金墅水源地2,120.3818,31.3767,7.8,7.02,430,18,0.07,2.95
2022/5/9,白洋湾金墅水源地3,120.3838,31.3787,7.9,7.02,433,19,0.06,2.92
2022/5/9,白洋湾金墅水源地4,120.3795,31.3777,7.9,7.36,435,18,0.08,3.01
2022/5/9,白洋湾金墅水源地5,120.3803,31.3792,7.8,7.23,435,17,0.06,2.92
2022/5/16,白洋湾金墅水源地1,120.3813,31.3749,7.8,7.63,438,29,0.08,1.17
2022/5/16,白洋湾金墅水源地2,120.3818,31.3767,7.8,7.89,436,27,0.07,1.23
2022/5/16,白洋湾金墅水源地3,120.3838,31.3787,7.8,7.56,435,25,0.07,1.09
2022/5/16,白洋湾金墅水源地4,120.3795,31.3777,7.8,7.28,435,28,0.08,1.13
2022/5/16,白洋湾金墅水源地5,120.3803,31.3792,7.9,7.26,433,26,0.08,1.06
2022/5/23,白洋湾金墅水源地1,120.3813,31.3749,7.8,6.88,436,14,0.1,2.84
2022/5/23,白洋湾金墅水源地2,120.3818,31.3767,7.9,6.93,436,16,0.09,3
2022/5/23,白洋湾金墅水源地3,120.3838,31.3787,7.8,6.86,436,15,0.08,3.49
2022/5/23,白洋湾金墅水源地4,120.3795,31.3777,7.8,6.53,435,17,0.09,2.52
2022/5/23,白洋湾金墅水源地5,120.3803,31.3792,7.7,6.36,434,15,0.09,2.29